"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"21142",NA,5,"8","1","2","7",1,218.343
"21143",NA,5,"8","2","1","6",1,156.575
"21144",NA,5,"8","2","2","4",1,194.24
"21145",NA,5,"8","2","2","5",1,186.585
"21146",NA,5,"8","3","2","4",1,440.871
"21147",NA,5,"8","3","3","2",1,114.772
"21148",NA,5,"8","3","3","3",1,585.445
"21149",NA,5,"8","3","3","3",2,253.418
"21150",NA,5,"8","3","3","4",1,2125.865
"21151",NA,5,"8","3","3","4",2,125.299
"21152",NA,5,"8","3","3","5",1,1980.599
"21153",NA,5,"8","3","3","5",2,141.753
"21154",NA,5,"8","3","3","6",1,234.689
"21155",NA,5,"8","3","3","6",2,363.374
"21156",NA,5,"8","3","3","7",1,325.928
"21157",NA,5,"8","5","2","4",1,190.839
"21158",NA,5,"8","5","2","5",1,66.435
"21159",NA,5,"8","5","3","2",1,69.657
"21160",NA,5,"8","5","3","5",1,129.079
"21161",NA,5,"8","5","3","6",1,334.336
"21162",NA,5,"8","7","2","3",1,100.491
"21163",NA,5,"8","7","2","6",1,63.215
"21164",NA,5,"8","8","2","2",1,93.496
"21165",NA,5,"8","8","2","3",1,6708.259
"21166",NA,5,"8","8","2","4",1,11091.196
"21167",NA,5,"8","8","2","5",1,15236.058
"21168",NA,5,"8","8","2","5",2,290.147
"21169",NA,5,"8","8","2","6",1,8080.889
"21170",NA,5,"8","8","2","6",2,161.53
"21171",NA,5,"8","8","2","7",1,896.306
"21172",NA,5,"8","9","2","2",1,120.984
"21173",NA,5,"8","9","2","3",1,245.266
"21174",NA,5,"8","9","2","4",2,429.795
"21175",NA,5,"8","9","2","5",1,126.361
"21176",NA,5,"8","9","2","6",1,275.717
"21177",NA,5,"8","9","3","2",1,350.654
"21178",NA,5,"8","9","3","3",1,3992.873
"21179",NA,5,"8","9","3","3",2,266.447
"21180",NA,5,"8","9","3","4",1,3190.648
"21181",NA,5,"8","9","3","5",1,3121.697
"21182",NA,5,"8","9","3","6",1,524.271
"21183",NA,5,"8","9","3","7",1,190.227
"21184",NA,5,"9","1","1","4",1,329.556
