"","IndustryGroup","JobGroup","RiskGroup","V20","V21","sum_Employment"
"3296","7","9","3",475,922,5256.194
"3297","7","9","3",475,992,213.509
"3298","7","9","3",476,922,997.361
"3299","7","9","3",477,922,10992.595
"3300","7","9","3",478,922,3347.918
"3301","7","9","3",479,922,25639.373
"3302","7","9","3",479,992,3395.775
"3303","8","1","1",493,120,202.545
"3304","8","1","1",494,120,229.053
"3305","8","1","1",529,120,609.685
"3306","8","1","2",491,151,1730.57
"3307","8","1","2",492,151,3156.777
"3308","8","1","2",493,151,877.859
"3309","8","1","2",494,151,261.362
"3310","8","1","2",511,151,107.586
"3311","8","1","2",521,151,107.533
"3312","8","1","2",529,151,1400.686
"3313","8","2","1",491,237,37.324
"3314","8","2","1",492,221,272.09
"3315","8","2","1",492,231,441.594
"3316","8","2","1",492,235,338.909
"3317","8","2","1",492,237,963.743
"3318","8","2","1",492,244,239.505
"3319","8","2","1",493,235,319.626
"3320","8","2","1",501,237,7146.248
"3321","8","2","1",501,254,232.543
"3322","8","2","1",502,237,675.033
"3323","8","2","1",511,231,219.065
"3324","8","2","1",511,237,4848.623
"3325","8","2","1",511,254,113.271
"3326","8","2","1",521,212,283.596
"3327","8","2","1",529,231,326.35
"3328","8","2","1",529,235,718.544
"3329","8","2","1",529,237,2385.348
"3330","8","2","1",529,254,49.21
"3331","8","2","1",529,286,28.417
"3332","8","2","2",491,271,508.064
"3333","8","2","2",492,223,179.644
"3334","8","2","2",492,224,208.596
"3335","8","2","2",492,236,96.428
"3336","8","2","2",493,236,233.04
"3337","8","2","2",501,223,291.94
"3338","8","2","2",501,271,68.893
"3339","8","2","2",501,274,967.772
"3340","8","2","2",502,246,73.371
"3341","8","2","2",511,223,404.14
"3342","8","2","2",511,283,192.366
"3343","8","2","2",521,223,219.065
"3344","8","2","2",521,236,545.725
"3345","8","2","2",521,274,222.729
"3346","8","2","2",529,223,384.852
"3347","8","2","2",529,224,110.071
"3348","8","2","2",529,236,132.55
"3349","8","2","2",529,271,1499.626
"3350","8","2","2",529,274,633.575
"3351","8","3","2",492,311,137.326
"3352","8","3","2",492,392,257.145
"3353","8","3","2",494,392,3080.787
"3354","8","3","2",502,392,256.246
"3355","8","3","2",511,311,354.043
"3356","8","3","2",511,392,630.001
"3357","8","3","2",521,320,39.521
"3358","8","3","2",529,311,4088.406
"3359","8","3","2",529,392,2460.44
"3360","8","3","3",491,312,4471.115
"3361","8","3","3",491,313,204.406
"3362","8","3","3",492,312,21993.981
"3363","8","3","3",492,313,4857.808
"3364","8","3","3",492,314,258.211
"3365","8","3","3",492,330,554.021
"3366","8","3","3",492,399,104.846
"3367","8","3","3",493,312,18029.284
"3368","8","3","3",493,313,6957.773
"3369","8","3","3",493,314,69.194
"3370","8","3","3",493,399,652.186
"3371","8","3","3",494,312,12706.697
"3372","8","3","3",494,313,6164.906
"3373","8","3","3",494,314,1941.791
"3374","8","3","3",494,399,978.315
"3375","8","3","3",495,312,720.109
"3376","8","3","3",495,313,51.653
"3377","8","3","3",501,312,6877.992
"3378","8","3","3",501,313,1845.019
"3379","8","3","3",501,314,300.003
"3380","8","3","3",501,330,443.952
"3381","8","3","3",502,312,580.788
"3382","8","3","3",502,313,177.259
