"","V20","EduGroup","RiskGroup","sum_Employment"
"431",161,0,"3",251.969
"432",161,1,"2",255.9
"433",161,1,"3",717.744
"434",161,2,"2",285.968
"435",161,2,"3",959.465
"436",161,3,"1",97.911
"437",161,3,"2",314.862
"438",161,3,"3",3728.344
"439",161,4,"2",248.974
"440",161,4,"3",469.949
"441",161,5,"2",253.193
"442",161,5,"3",778.859
"443",161,6,"2",461.816
"444",161,6,"3",134.052
"445",162,0,"3",36.382
"446",162,1,"2",833.303
"447",162,1,"3",987.344
"448",162,2,"2",2220.1
"449",162,2,"3",2436.377
"450",162,3,"1",183.153
"451",162,3,"2",4649.462
"452",162,3,"3",9793.361
"453",162,4,"1",585.98
"454",162,4,"2",466.488
"455",162,4,"3",1933.805
"456",162,5,"1",340.159
"457",162,5,"2",1409.368
"458",162,5,"3",3216.197
"459",162,6,"2",376.42
"460",162,6,"3",193.065
"461",163,1,"2",18.02
"462",163,2,"2",17.863
"463",163,3,"2",20.673
"464",163,4,"3",306.033
"465",163,5,"2",111.897
"466",163,5,"3",202.47
"467",171,0,"2",40.369
"468",171,1,"1",149.523
"469",171,1,"2",572.805
"470",171,1,"3",833.527
"471",171,2,"2",1086.553
"472",171,2,"3",541.943
"473",171,3,"2",2934.258
"474",171,3,"3",10439.617
"475",171,4,"1",186.41
"476",171,4,"2",268.05
"477",171,4,"3",1701.332
"478",171,5,"1",235.12
"479",171,5,"2",350.152
"480",171,5,"3",4669.551
"481",171,6,"1",194.925
"482",171,6,"2",26.993
"483",171,6,"3",368.994
"484",171,7,"3",135.454
"485",172,0,"2",42.045
"486",172,1,"2",1536.022
"487",172,1,"3",1057.15
"488",172,2,"2",1923.63
"489",172,2,"3",2296.35
"490",172,3,"1",72.217
"491",172,3,"2",8407.931
"492",172,3,"3",11852.676
"493",172,4,"1",205.334
"494",172,4,"2",1813.893
"495",172,4,"3",3849.875
"496",172,5,"1",920.614
"497",172,5,"2",2378.708
"498",172,5,"3",5929.664
"499",172,6,"3",65.421
"500",179,0,"2",161.973
"501",179,1,"2",154.434
"502",179,1,"3",181.328
"503",179,2,"2",1035.855
"504",179,2,"3",1236.023
"505",179,3,"2",4461.72
"506",179,3,"3",8966.578
"507",179,4,"2",427.767
"508",179,4,"3",2101.961
"509",179,5,"1",1345.513
"510",179,5,"2",581.438
"511",179,5,"3",3371.698
"512",179,7,"2",132.808
"513",181,0,"3",34.877
"514",181,1,"2",612.706
"515",181,1,"3",595.814
"516",181,2,"2",1364.427
"517",181,2,"3",4091.132
"518",181,3,"1",612.004
"519",181,3,"2",6306.13
"520",181,3,"3",30639.515
"521",181,4,"1",2105.923
"522",181,4,"2",2223.297
"523",181,4,"3",10215.712
"524",181,5,"1",2887.343
"525",181,5,"2",2207.799
"526",181,5,"3",11705.746
"527",181,6,"3",425.196
"528",182,3,"3",136.659
"529",191,1,"2",86.305
"530",191,2,"3",66.869
"531",191,3,"2",76.93
"532",191,3,"3",237.652
"533",191,4,"3",316.101
"534",191,5,"2",284.038
"535",191,6,"3",16.837
"536",192,3,"2",1328.035
"537",192,3,"3",1267.608
"538",192,4,"1",455.854
"539",192,4,"2",840.75
"540",192,4,"3",3720.742
"541",192,5,"1",1204.23
"542",192,5,"2",708.104
"543",192,5,"3",2786.19
"544",192,6,"1",470.794
"545",201,1,"2",223.381
"546",201,1,"3",135.178
"547",201,2,"2",465.919
"548",201,2,"3",409.535
"549",201,3,"1",424.491
"550",201,3,"2",3327.465
"551",201,3,"3",7252.182
"552",201,4,"1",250.263
"553",201,4,"2",1159.812
"554",201,4,"3",6613.944
"555",201,5,"1",2767.755
"556",201,5,"2",2739.78
"557",201,5,"3",7157.161
"558",201,6,"1",732.731
"559",201,6,"2",468.744
"560",201,6,"3",480.141
"561",201,7,"1",322.637
"562",202,0,"2",28.684
"563",202,1,"2",81.596
"564",202,1,"3",18.441
"565",202,2,"2",207.29
"566",202,2,"3",100.738
"567",202,3,"1",29.746
"568",202,3,"2",818.358
"569",202,3,"3",2620.256
"570",202,4,"1",77.737
"571",202,4,"2",17.902
"572",202,4,"3",306.087
"573",202,5,"1",245.154
"574",202,5,"2",69.086
"575",202,5,"3",797.689
"576",202,6,"2",124.253
"577",202,7,"3",56.374
"578",203,0,"3",152.451
"579",203,1,"2",136.255
"580",203,1,"3",142.491
"581",203,2,"2",148.058
"582",203,2,"3",1270.416
"583",203,3,"2",1596.413
"584",203,3,"3",9815.22
"585",203,4,"1",117.859
"586",203,4,"2",1178.637
"587",203,4,"3",4034.215
"588",203,5,"1",1902.521
"589",203,5,"2",1310.391
"590",203,5,"3",6122.204
"591",203,6,"1",1408.481
"592",203,6,"2",229.662
"593",203,6,"3",322.82
"594",204,0,"2",37.046
"595",204,1,"2",742.176
"596",204,1,"3",158.889
"597",204,2,"2",2108.73
"598",204,2,"3",1201.54
"599",204,3,"1",592.792
"600",204,3,"2",17900.73
"601",204,3,"3",24111.893
"602",204,4,"1",1455.819
"603",204,4,"2",2769.446
"604",204,4,"3",15082.447
"605",204,5,"1",10521.537
"606",204,5,"2",7135.283
"607",204,5,"3",23078.57
"608",204,6,"1",3187.56
"609",204,6,"2",1007.307
"610",204,6,"3",1104.82
"611",204,7,"1",449.1
"612",204,7,"3",203.745
"613",205,1,"2",30.257
"614",205,1,"3",34.38
"615",205,2,"2",325.264
"616",205,3,"1",129.08
"617",205,3,"2",1067.013
"618",205,3,"3",3092.816
"619",205,4,"3",1504.001
"620",205,5,"1",216.194
"621",205,5,"3",1820.172
"622",205,6,"1",127.975
"623",205,6,"3",119.71
"624",205,7,"1",643.67
"625",211,2,"3",141.385
"626",211,3,"3",844.637
"627",211,4,"2",31.064
"628",211,4,"3",515.25
"629",211,5,"1",362.194
"630",211,5,"3",835.833
"631",211,6,"1",686.726
"632",211,6,"2",31.854
"633",211,6,"3",86.456
"634",211,7,"3",201.37
"635",212,0,"2",47.281
"636",212,1,"2",225.317
"637",212,2,"2",184.826
"638",212,2,"3",528.755
"639",212,3,"1",191.315
"640",212,3,"2",2774.265
"641",212,3,"3",8129.289
"642",212,4,"1",363.215
"643",212,4,"2",1444.998
"644",212,4,"3",6664.203
"645",212,5,"1",4426.476
"646",212,5,"2",8029.796
"647",212,5,"3",12382.477
"648",212,6,"1",3274.016
"649",212,6,"3",1892.308
